"method","language","message_size","message_count","warmup_count","trials","status","exit_code","error","average_micros","total_micros","min_micros","max_micros","stddev_micros","message_rate","child_ready","output"
"named-pipe-message-sync","rust","1024","100000","10000","7","completed","0",,"10.090653571428568","7063457.499999997","8.411999999999999","18.903","0.9184669164981016","99101.60852528669","True","named-pipe-message-sync-s1024-native.json"
"named-pipe-overlapped","rust","1024","100000","10000","7","completed","0",,"10.728813285714287","7510169.300000001","8.982999999999999","17.722","0.9903354143899522","93206.95340383337","True","named-pipe-overlapped-s1024-native.json"
"tcp-loopback","rust","1024","100000","10000","7","completed","0",,"24.941877285714288","17459314.1","17.285","49.229","3.1415508368044787","40093.21305468695","True","tcp-loopback-s1024-native.json"
"shm-events","rust","1024","100000","10000","7","completed","0",,"9.781762428571431","6847233.700000002","6.91","16.514","1.490020585664061","102231.06595587643","True","shm-events-s1024-native.json"
"shm-semaphores","rust","1024","100000","10000","7","completed","0",,"9.816250428571436","6871375.300000005","7.053999999999999","17.658","1.5799079124158197","101871.89164300186","True","shm-semaphores-s1024-native.json"
"shm-mailbox-spin","rust","1024","100000","10000","7","completed","0",,"0.23566671428571415","164966.6999999999","0.205","0.5539999999999999","0.01831141503632784","4243280.613602627","True","shm-mailbox-spin-s1024-native.json"
"shm-mailbox-hybrid","rust","1024","100000","10000","7","completed","0",,"0.3073557142857141","215148.99999999988","0.28","14.154000000000002","0.17334077019040806","3253559.1613254086","True","shm-mailbox-hybrid-s1024-native.json"
"shm-ring-spin","rust","1024","100000","10000","7","completed","0",,"0.26378499999999994","184649.49999999997","0.237","1.6129999999999998","0.03427789672035654","3790966.1277176496","True","shm-ring-spin-s1024-native.json"
"shm-ring-hybrid","rust","1024","100000","10000","7","completed","0",,"0.34674985714285694","242724.89999999985","0.311","1.83","0.07495239346207619","2883923.32224671","True","shm-ring-hybrid-s1024-native.json"
"af-unix","rust","1024","100000","10000","7","completed","0",,"13.517839142857143","9462487.4","10.176","43.438","1.7541272178524252","73976.32043346234","True","af-unix-s1024-native.json"
"udp-loopback","rust","1024","100000","10000","7","completed","0",,"21.84905842857142","15294340.899999995","16.738","48.805","2.5663393458694284","45768.562671438835","True","udp-loopback-s1024-native.json"
"mailslot","rust","1024","5000","200","5","completed","0",,"11.747188000000001","293679.7","9.774","18.106","1.5769776829923752","85126.75544138734","True","mailslot-s1024-native.json"
"rpc","rust","1024","100000","10000","7","completed","0",,"6.295181428571431","4406627.000000002","4.692","12.388","1.0675712984945749","158851.65683412727","True","rpc-s1024-native.json"
"alpc","rust","1024","100000","10000","7","completed","0",,"5.610229285714284","3927160.4999999986","4.22","12.123","0.850683572445161","178245.8343630214","True","alpc-s1024-native.json"
"py-multiprocessing-pipe","python","1024","100000","10000","7","completed","0",,"34.330751142857146","24031525.8","23.548000000000002","66.085","4.045449684001077","29128.404322958137","True","py-multiprocessing-pipe-s1024-python.json"
"py-multiprocessing-queue","python","1024","100000","10000","7","completed","0",,"70.37824571428571","49264772.0","47.928999999999995","141.775","8.523779465935881","14208.936154215837","True","py-multiprocessing-queue-s1024-python.json"
"py-socket-tcp-loopback","python","1024","100000","10000","7","completed","0",,"26.45684814285714","18519793.7","18.723","47.013999999999996","2.717318932424171","37797.39727878286","True","py-socket-tcp-loopback-s1024-python.json"
"py-shared-memory-events","python","1024","100000","10000","7","completed","0",,"55.059143999999996","38541400.8","42.293","76.53699999999999","3.442635068433315","18162.287448566218","True","py-shared-memory-events-s1024-python.json"
"py-shared-memory-queue","python","1024","100000","10000","7","completed","0",,"54.34057757142857","38038404.3","36.613","109.428","7.325672907540194","18402.45438476503","True","py-shared-memory-queue-s1024-python.json"
"copy-roundtrip","rust","4096","100000","10000","7","completed","0",,"0.14932842857142836","104529.89999999985","0.14","0.314","0.01789666346682802","6696648.5187491905","False","copy-roundtrip-s4096-native.json"
"anon-pipe","rust","4096","100000","10000","7","completed","0",,"18.657045142857147","13059931.600000003","13.636","36.08","2.354911023242852","53599.05560301708","False","anon-pipe-s4096-native.json"
"named-pipe-byte-sync","rust","4096","100000","10000","7","completed","0",,"13.400482857142862","9380338.000000004","9.73","26.884","2.010518535102781","74624.17665546804","True","named-pipe-byte-sync-s4096-native.json"
"named-pipe-message-sync","rust","4096","100000","10000","7","completed","0",,"13.150721285714278","9205504.899999995","9.426","24.218000000000004","1.8663710545650725","76041.45645503925","True","named-pipe-message-sync-s4096-native.json"
"named-pipe-overlapped","rust","4096","100000","10000","7","completed","0",,"14.559899000000001","10191929.3","10.844","27.491","1.987143948110778","68681.79511410072","True","named-pipe-overlapped-s4096-native.json"
"tcp-loopback","rust","4096","100000","10000","7","completed","0",,"25.53211100000002","17872477.700000014","19.105","56.18200000000001","3.289594527527084","39166.36583633837","True","tcp-loopback-s4096-native.json"
"shm-events","rust","4096","100000","10000","7","completed","0",,"10.621155","7434808.5","7.881","23.145","1.564849004985326","94151.7189043941","True","shm-events-s4096-native.json"
"shm-semaphores","rust","4096","100000","10000","7","completed","0",,"10.671967285714283","7470377.099999998","7.757000000000001","22.32","1.7290475922355322","93703.43566725704","True","shm-semaphores-s4096-native.json"
"shm-mailbox-spin","rust","4096","100000","10000","7","completed","0",,"0.700121571428571","490085.0999999997","0.49700000000000005","8.706","0.1759422590115921","1428323.3666969277","True","shm-mailbox-spin-s4096-native.json"
"shm-mailbox-hybrid","rust","4096","100000","10000","7","completed","0",,"0.671343","469940.10000000003","0.445","2.2489999999999997","0.07543476221875432","1489551.540717636","True","shm-mailbox-hybrid-s4096-native.json"
"shm-ring-spin","rust","4096","100000","10000","7","completed","0",,"0.6289772857142858","440284.10000000003","0.533","2.279","0.056658013414354925","1589882.5326647044","True","shm-ring-spin-s4096-native.json"
"shm-ring-hybrid","rust","4096","100000","10000","7","completed","0",,"0.6728694285714288","471008.6000000002","0.5259999999999999","9.640999999999998","0.19422412409294962","1486172.4393142709","True","shm-ring-hybrid-s4096-native.json"
"af-unix","rust","4096","100000","10000","7","completed","0",,"14.477799285714285","10134459.5","10.806","42.559","1.9591117818686714","69071.27114179103","True","af-unix-s4096-native.json"
"udp-loopback","rust","4096","100000","10000","7","completed","0",,"23.093043714285706","16165130.599999994","17.362000000000002","47.857000000000006","3.147066327019574","43303.08349008948","True","udp-loopback-s4096-native.json"
"mailslot","rust","4096","5000","200","5","completed","0",,"10.82714","270678.5","9.436","18.366","1.052640917122264","92360.49409169919","True","mailslot-s4096-native.json"
"rpc","rust","4096","100000","10000","7","completed","0",,"34.91038285714287","24437268.000000007","26.37","72.534","4.135372852216471","28644.773220967247","True","rpc-s4096-native.json"
"alpc","rust","4096","100000","10000","7","completed","0",,"6.427574714285717","4499302.300000002","4.944","17.715","1.088190972796097","155579.67732019245","True","alpc-s4096-native.json"
"py-multiprocessing-pipe","python","4096","100000","10000","7","completed","0",,"36.87506742857143","25812547.2","25.753","68.914","4.633345353447176","27118.59447950956","True","py-multiprocessing-pipe-s4096-python.json"
"py-multiprocessing-queue","python","4096","100000","10000","7","completed","0",,"72.02434028571429","50417038.2","51.211999999999996","148.16","10.122379723163913","13884.195204469588","True","py-multiprocessing-queue-s4096-python.json"
"py-socket-tcp-loopback","python","4096","100000","10000","7","completed","0",,"28.199481","19739636.7","20.415","55.619","3.103342812734888","35461.64555298022","True","py-socket-tcp-loopback-s4096-python.json"
"py-shared-memory-events","python","4096","100000","10000","7","completed","0",,"53.206177714285715","37244324.4","42.475","89.796","3.5915323382510906","18794.80998183981","True","py-shared-memory-events-s4096-python.json"
"py-shared-memory-queue","python","4096","100000","10000","7","completed","0",,"51.81447528571429","36270132.7","37.134","108.395","6.799147758881512","19299.626108067696","True","py-shared-memory-queue-s4096-python.json"
"copy-roundtrip","rust","16384","100000","10000","7","completed","0",,"1.3476977142857134","943388.3999999994","1.1689999999999998","3.103","0.23634582904942747","742006.155683068","False","copy-roundtrip-s16384-native.json"
"anon-pipe","rust","16384","100000","10000","7","completed","0",,"19.343186571428575","13540230.600000003","14.185","39.46","2.5193382846164116","51697.790139556404","False","anon-pipe-s16384-native.json"
"named-pipe-byte-sync","rust","16384","100000","10000","7","completed","0",,"14.759074571428568","10331352.199999997","11.527999999999999","34.217000000000006","2.0747174263731063","67754.92563306478","True","named-pipe-byte-sync-s16384-native.json"
"named-pipe-message-sync","rust","16384","100000","10000","7","completed","0",,"14.190432285714287","9933302.600000001","10.697000000000001","32.668","1.9790165693345008","70470.01668911203","True","named-pipe-message-sync-s16384-native.json"
"named-pipe-overlapped","rust","16384","100000","10000","7","completed","0",,"16.22491828571429","11357442.8","12.047","47.25","2.8248054982159996","61633.592378735106","True","named-pipe-overlapped-s16384-native.json"
"tcp-loopback","rust","16384","100000","10000","7","completed","0",,"29.931261857142868","20951883.30000001","21.928","61.813","3.877261106558449","33409.8844469986","True","tcp-loopback-s16384-native.json"
"shm-events","rust","16384","100000","10000","7","completed","0",,"11.839420999999998","8287594.699999998","9.041","35.635","1.5464313542712729","84463.58990021558","True","shm-events-s16384-native.json"
"shm-semaphores","rust","16384","100000","10000","7","completed","0",,"11.840757714285715","8288530.4","8.905999999999999","24.955","1.5741754536937493","84454.05472603442","True","shm-semaphores-s16384-native.json"
"shm-mailbox-spin","rust","16384","100000","10000","7","completed","0",,"2.180702285714287","1526491.600000001","1.9969999999999999","4.793","0.18159691688832982","458567.86896174174","True","shm-mailbox-spin-s16384-native.json"
"shm-mailbox-hybrid","rust","16384","100000","10000","7","completed","0",,"2.19590742857143","1537135.200000001","2.009","7.5009999999999994","0.150764010490243","455392.6030709593","True","shm-mailbox-hybrid-s16384-native.json"
"shm-ring-spin","rust","16384","100000","10000","7","completed","0",,"1.8860721428571432","1320250.5000000002","1.35","11.107999999999999","0.23194576046008714","530202.4123452329","True","shm-ring-spin-s16384-native.json"
"shm-ring-hybrid","rust","16384","100000","10000","7","completed","0",,"1.8865990000000001","1320619.3","1.729","10.783","0.20432363942425133","530054.3464721438","True","shm-ring-hybrid-s16384-native.json"
"af-unix","rust","16384","100000","10000","7","completed","0",,"15.835920714285711","11085144.499999998","12.773000000000001","33.611999999999995","1.759024367207021","63147.5755683654","True","af-unix-s16384-native.json"
"udp-loopback","rust","16384","100000","10000","7","completed","0",,"25.77576857142856","18043037.999999993","19.744","54.31400000000001","3.613443336112794","38796.127348398884","True","udp-loopback-s16384-native.json"
"mailslot","rust","16384","5000","200","5","completed","0",,"12.161867999999998","304046.69999999995","10.056","19.28","1.3029312455290947","82224.21095180446","True","mailslot-s16384-native.json"
"rpc","rust","16384","100000","10000","7","completed","0",,"47.80678657142854","33464750.59999998","38.163","88.62200000000001","5.161350138524633","20917.53225257864","True","rpc-s16384-native.json"
"alpc","rust","16384","100000","10000","7","completed","0",,"9.858342428571428","6900839.699999999","7.171","29.531999999999996","1.893724638687275","101436.93092885494","True","alpc-s16384-native.json"
"py-multiprocessing-pipe","python","16384","100000","10000","7","completed","0",,"41.231573857142855","28862101.7","28.904","77.686","4.955491845068976","24253.25803629886","True","py-multiprocessing-pipe-s16384-python.json"
"py-multiprocessing-queue","python","16384","100000","10000","7","completed","0",,"84.54789957142857","59183529.7","61.641000000000005","166.03","11.064122342743676","11827.61493862033","True","py-multiprocessing-queue-s16384-python.json"
"py-socket-tcp-loopback","python","16384","100000","10000","7","completed","0",,"33.50469642857143","23453287.5","23.375999999999998","62.075","4.22744600157979","29846.56202248832","True","py-socket-tcp-loopback-s16384-python.json"
"py-shared-memory-events","python","16384","100000","10000","7","completed","0",,"57.93491642857143","40554441.5","44.523999999999994","107.948","5.63691834513594","17260.74812298919","True","py-shared-memory-events-s16384-python.json"
"py-shared-memory-queue","python","16384","100000","10000","7","completed","0",,"55.10643528571429","38574504.7","38.459","108.413","7.857186529874458","18146.700921865624","True","py-shared-memory-queue-s16384-python.json"
"copy-roundtrip","rust","32704","100000","10000","7","completed","0",,"2.343752999999999","1640627.0999999994","2.234","4.905","0.11301800484688898","426666.1205340325","False","copy-roundtrip-s32704-native.json"
"anon-pipe","rust","32704","100000","10000","7","completed","0",,"21.0772562857143","14754079.40000001","16.94","43.217000000000006","2.27272249925136","47444.505415905485","False","anon-pipe-s32704-native.json"
"named-pipe-byte-sync","rust","32704","100000","10000","7","completed","0",,"15.250980142857138","10675686.099999996","11.460999999999999","33.839","1.6811854303369158","65569.5562273979","True","named-pipe-byte-sync-s32704-native.json"
"named-pipe-message-sync","rust","32704","100000","10000","7","completed","0",,"16.151936000000003","11306355.200000001","11.796000000000001","41.025","2.3024197790687198","61912.08286115051","True","named-pipe-message-sync-s32704-native.json"
"named-pipe-overlapped","rust","32704","100000","10000","7","completed","0",,"17.58869914285714","12312089.399999999","14.382","36.863","1.8302687386749228","56854.68788100257","True","named-pipe-overlapped-s32704-native.json"
"tcp-loopback","rust","32704","100000","10000","7","completed","0",,"27.209442714285707","19046609.899999995","22.127000000000002","57.153999999999996","2.6255530694919","36751.9471273468","True","tcp-loopback-s32704-native.json"
"shm-events","rust","32704","100000","10000","7","completed","0",,"13.448866142857138","9414206.299999997","10.565","28.934","1.629552507617433","74355.71068800567","True","shm-events-s32704-native.json"
"shm-semaphores","rust","32704","100000","10000","7","completed","0",,"13.579081428571435","9505357.000000004","10.668","28.244","1.5237353608618585","73642.68380451147","True","shm-semaphores-s32704-native.json"
"shm-mailbox-spin","rust","32704","100000","10000","7","completed","0",,"4.612988714285713","3229092.099999999","2.491","8.47","0.2791134720883319","216779.19932974357","True","shm-mailbox-spin-s32704-native.json"
"shm-mailbox-hybrid","rust","32704","100000","10000","7","completed","0",,"4.101403857142858","2870982.700000001","3.7030000000000003","20.035999999999998","0.8385605591297385","243818.95439495324","True","shm-mailbox-hybrid-s32704-native.json"
"shm-ring-spin","rust","32704","100000","10000","7","completed","0",,"3.0889044285714276","2162233.099999999","2.8","3.7560000000000002","0.10594900057690439","323739.37851566524","True","shm-ring-spin-s32704-native.json"
"shm-ring-hybrid","rust","32704","100000","10000","7","completed","0",,"3.261832285714285","2283282.5999999996","2.8640000000000003","14.095","0.814090667213024","306576.15487456525","True","shm-ring-hybrid-s32704-native.json"
"af-unix","rust","32704","100000","10000","7","completed","0",,"16.455831714285708","11519082.199999996","13.167","37.655","1.6387885661478914","60768.73034207537","True","af-unix-s32704-native.json"
"udp-loopback","rust","32704","100000","10000","7","completed","0",,"27.49580014285716","19247060.100000013","21.072","56.191","3.9266461678675","36369.19074201881","True","udp-loopback-s32704-native.json"
"mailslot","rust","32704","5000","200","5","completed","0",,"15.523663999999997","388091.5999999999","13.014000000000001","27.142","2.5991197831388995","64417.7817814145","True","mailslot-s32704-native.json"
"rpc","rust","32704","100000","10000","7","completed","0",,"63.514663857142864","44460264.7","50.73700000000001","105.76800000000001","6.813337702771532","15744.39569182322","True","rpc-s32704-native.json"
"alpc","rust","32704","100000","10000","7","completed","0",,"14.848994714285718","10394296.300000003","11.234000000000002","39.578","2.6175906044300796","67344.62630240778","True","alpc-s32704-native.json"
"py-multiprocessing-pipe","python","32704","100000","10000","7","completed","0",,"43.574222142857145","30501955.5","32.644","84.96","4.459359662065009","22949.348280309438","True","py-multiprocessing-pipe-s32704-python.json"
"py-multiprocessing-queue","python","32704","100000","10000","7","completed","0",,"102.56601242857143","71796208.7","81.907","199.88099999999997","12.579388707314145","9749.81844688966","True","py-multiprocessing-queue-s32704-python.json"
"py-socket-tcp-loopback","python","32704","100000","10000","7","completed","0",,"37.44238385714286","26209668.7","30.416","78.286","3.6915359759779407","26707.701192728164","True","py-socket-tcp-loopback-s32704-python.json"
"py-shared-memory-events","python","32704","100000","10000","7","completed","0",,"63.53964171428572","44477749.2","49.828","103.338","4.47845103929312","15738.206464818142","True","py-shared-memory-events-s32704-python.json"
"py-shared-memory-queue","python","32704","100000","10000","7","completed","0",,"63.995630428571424","44796941.3","42.533","132.304","8.942467742494788","15626.066862739131","True","py-shared-memory-queue-s32704-python.json"
