"method","language","message_size","message_count","warmup_count","trials","status","exit_code","error","average_micros","total_micros","min_micros","max_micros","stddev_micros","message_rate","child_ready","output"
"shm-semaphores","rust","1024","1000","100","3","completed","0",,"9.2625","27787.499999999996","6.92","31.27","2.2688806528036385","107962.21322537113","True","shm-semaphores-s1024-native.json"
"shm-mailbox-spin","rust","1024","1000","100","3","completed","0",,"0.2440333333333333","732.0999999999999","0.19","5.41","0.299902315577737","4097800.846878842","True","shm-mailbox-spin-s1024-native.json"
"shm-mailbox-hybrid","rust","1024","1000","100","3","completed","0",,"0.30520000000000025","915.6000000000008","0.27999999999999997","1.17","0.06052239255019586","3276539.9737876775","True","shm-mailbox-hybrid-s1024-native.json"
"shm-ring-spin","rust","1024","1000","100","3","completed","0",,"0.31913333333333327","957.3999999999999","0.27","0.5599999999999999","0.02252218659208933","3133486.5260079387","True","shm-ring-spin-s1024-native.json"
"shm-ring-hybrid","rust","1024","1000","100","3","completed","0",,"0.3344666666666667","1003.4000000000001","0.31999999999999995","0.9199999999999999","0.04111020419420083","2989834.562487542","True","shm-ring-hybrid-s1024-native.json"
"af-unix","rust","1024","1000","100","3","completed","0",,"11.763766666666664","35291.29999999999","9.36","36.160000000000004","2.698850275992024","85006.78637511231","True","af-unix-s1024-native.json"
"udp-loopback","rust","1024","1000","100","3","completed","0",,"19.871533333333335","59614.600000000006","16.479999999999997","38.61","4.057647222495103","50323.24296397191","True","udp-loopback-s1024-native.json"
"mailslot","rust","1024","1000","100","3","completed","0",,"9.885933333333332","29657.799999999996","8.129999999999999","17.34","1.4189238159801085","101153.82799803089","True","mailslot-s1024-native.json"
"rpc","rust","1024","1000","100","3","completed","0",,"8.053566666666667","24160.7","5.93","48.010000000000005","2.567118932231662","124168.5878306506","True","rpc-s1024-native.json"
"alpc","rust","1024","1000","100","3","completed","0",,"5.780466666666665","17341.399999999994","4.45","11.06","1.0152991918094332","172996.41320769957","True","alpc-s1024-native.json"
"py-multiprocessing-pipe","python","1024","1000","100","3","completed","0",,"28.063366666666667","84190.1","23.18","60.42","5.513623097887229","35633.64338562373","True","py-multiprocessing-pipe-s1024-python.json"
"py-multiprocessing-queue","python","1024","1000","100","3","completed","0",,"62.67206666666667","188016.2","46.55","124.87","14.557545571359968","15956.071870402655","True","py-multiprocessing-queue-s1024-python.json"
"py-socket-tcp-loopback","python","1024","1000","100","3","completed","0",,"22.910166666666665","68730.5","19.66","42.160000000000004","3.2884543946291176","43648.744007391186","True","py-socket-tcp-loopback-s1024-python.json"
"py-shared-memory-events","python","1024","1000","100","3","completed","0",,"46.6241","139872.3","40.5","69.28","4.960536952454509","21448.135191885744","True","py-shared-memory-events-s1024-python.json"
"py-shared-memory-queue","python","1024","1000","100","3","completed","0",,"45.12246666666667","135367.4","34.85","90.95","8.649936295462272","22161.908997291815","True","py-shared-memory-queue-s1024-python.json"
"copy-roundtrip","rust","4096","1000","100","3","completed","0",,"0.14450000000000016","433.50000000000045","0.13999999999999999","0.15999999999999998","0.0050414944874180604","6920415.224913487","False","copy-roundtrip-s4096-native.json"
"anon-pipe","rust","4096","1000","100","3","completed","0",,"15.385933333333329","46157.79999999999","13.190000000000001","29.809999999999995","2.112658071929504","64994.43214364638","False","anon-pipe-s4096-native.json"
"named-pipe-byte-sync","rust","4096","1000","100","3","completed","0",,"13.185233333333333","39555.7","10.110000000000001","24.71","2.639471338271275","75842.41967655736","True","named-pipe-byte-sync-s4096-native.json"
"named-pipe-message-sync","rust","4096","1000","100","3","completed","0",,"11.807466666666665","35422.399999999994","10.09","30.479999999999997","2.1158860040706866","84692.17218483222","True","named-pipe-message-sync-s4096-native.json"
"named-pipe-overlapped","rust","4096","1000","100","3","completed","0",,"12.649733333333335","37949.200000000004","10.4","51.82000000000001","3.110452260077659","79053.04986666385","True","named-pipe-overlapped-s4096-native.json"
"tcp-loopback","rust","4096","1000","100","3","completed","0",,"22.495866666666664","67487.59999999999","19.31","52.19","4.107181058693284","44452.61055364245","True","tcp-loopback-s4096-native.json"
"shm-events","rust","4096","1000","100","3","completed","0",,"8.918899999999999","26756.699999999997","7.889999999999999","18.59","1.2111706967503253","112121.44995459082","True","shm-events-s4096-native.json"
"shm-semaphores","rust","4096","1000","100","3","completed","0",,"9.052799999999998","27158.399999999994","7.7299999999999995","21.86","1.4882077005579561","110463.06115235067","True","shm-semaphores-s4096-native.json"
"shm-mailbox-spin","rust","4096","1000","100","3","completed","0",,"0.6900333333333335","2070.1000000000004","0.47000000000000003","2.07","0.15483862208405513","1449205.3523984344","True","shm-mailbox-spin-s4096-native.json"
"shm-mailbox-hybrid","rust","4096","1000","100","3","completed","0",,"0.6418","1925.4","0.44000000000000006","1.6600000000000001","0.09217425526324219","1558117.793705204","True","shm-mailbox-hybrid-s4096-native.json"
"shm-ring-spin","rust","4096","1000","100","3","completed","0",,"0.6606333333333332","1981.8999999999994","0.51","1.98","0.10987841260027172","1513698.97573036","True","shm-ring-spin-s4096-native.json"
"shm-ring-hybrid","rust","4096","1000","100","3","completed","0",,"0.6524000000000001","1957.2000000000003","0.52","2.5100000000000002","0.12681314337770094","1532801.9619865112","True","shm-ring-hybrid-s4096-native.json"
"af-unix","rust","4096","1000","100","3","completed","0",,"11.9592","35877.6","9.809999999999999","31.919999999999998","2.3889968661902152","83617.63328650747","True","af-unix-s4096-native.json"
"udp-loopback","rust","4096","1000","100","3","completed","0",,"19.80453333333333","59413.59999999999","17.09","39.41","3.0776779313126457","50493.48970606057","True","udp-loopback-s4096-native.json"
"mailslot","rust","4096","1000","100","3","completed","0",,"10.586500000000004","31759.50000000001","8.64","30.76","1.8756014368729836","94459.92537665892","True","mailslot-s4096-native.json"
"rpc","rust","4096","1000","100","3","completed","0",,"32.4957","97487.09999999999","28.119999999999997","70.14","3.845131880269735","30773.302313844604","True","rpc-s4096-native.json"
"alpc","rust","4096","1000","100","3","completed","0",,"6.651699999999998","19955.099999999995","5.140000000000001","15.169999999999998","1.256137775086794","150337.5077047973","True","alpc-s4096-native.json"
"py-multiprocessing-pipe","python","4096","1000","100","3","completed","0",,"33.21403333333333","99642.1","25.57","69.53","7.211513622827196","30107.755657498183","True","py-multiprocessing-pipe-s4096-python.json"
"py-multiprocessing-queue","python","4096","1000","100","3","completed","0",,"62.487633333333335","187462.9","47.339999999999996","112.28","11.707535695677187","16003.166493210125","True","py-multiprocessing-queue-s4096-python.json"
"py-socket-tcp-loopback","python","4096","1000","100","3","completed","0",,"25.7978","77393.4","20.580000000000002","49.93","5.439078643790081","38762.99529417237","True","py-socket-tcp-loopback-s4096-python.json"
"py-shared-memory-events","python","4096","1000","100","3","completed","0",,"46.84159999999999","140524.8","41.32","70.95","4.8533244386365375","21348.544883180766","True","py-shared-memory-events-s4096-python.json"
"py-shared-memory-queue","python","4096","1000","100","3","completed","0",,"43.787299999999995","131361.9","34.39","93.52000000000001","7.658390107805513","22837.67211040644","True","py-shared-memory-queue-s4096-python.json"
"copy-roundtrip","rust","16384","1000","100","3","completed","0",,"1.4067999999999998","4220.4","1.1800000000000002","3.04","0.2519968782875425","710833.0963889678","False","copy-roundtrip-s16384-native.json"
"anon-pipe","rust","16384","1000","100","3","completed","0",,"16.125600000000002","48376.8","13.86","25.98","1.9225063432925258","62013.19640819566","False","anon-pipe-s16384-native.json"
"named-pipe-byte-sync","rust","16384","1000","100","3","completed","0",,"12.969400000000002","38908.200000000004","10.9","33.540000000000006","2.240258386883085","77104.56921677178","True","named-pipe-byte-sync-s16384-native.json"
"named-pipe-message-sync","rust","16384","1000","100","3","completed","0",,"13.587566666666667","40762.700000000004","10.89","35.58","3.7866232642759092","73596.69501774907","True","named-pipe-message-sync-s16384-native.json"
"named-pipe-overlapped","rust","16384","1000","100","3","completed","0",,"12.868099999999997","38604.29999999999","11.85","36.13","1.9571617349280737","77711.55026771632","True","named-pipe-overlapped-s16384-native.json"
"tcp-loopback","rust","16384","1000","100","3","completed","0",,"25.8686","77605.8","21.770000000000003","52.03000000000001","4.671273278240099","38656.90450971448","True","tcp-loopback-s16384-native.json"
"shm-events","rust","16384","1000","100","3","completed","0",,"10.541699999999999","31625.1","9.459999999999999","21.490000000000002","1.2040249623658144","94861.36012218145","True","shm-events-s16384-native.json"
"shm-semaphores","rust","16384","1000","100","3","completed","0",,"10.734266666666665","32202.799999999996","9.4","19.770000000000003","1.058991562236871","93159.60102848201","True","shm-semaphores-s16384-native.json"
"shm-mailbox-spin","rust","16384","1000","100","3","completed","0",,"2.1988000000000003","6596.4000000000015","1.85","3.3","0.18474277613301507","454793.52374022186","True","shm-mailbox-spin-s16384-native.json"
"shm-mailbox-hybrid","rust","16384","1000","100","3","completed","0",,"2.197366666666666","6592.0999999999985","2.05","4.35","0.19151344310227664","455090.18370473763","True","shm-mailbox-hybrid-s16384-native.json"
"shm-ring-spin","rust","16384","1000","100","3","completed","0",,"1.9171999999999998","5751.599999999999","1.7200000000000002","2.6100000000000003","0.1113649855205845","521593.99123722105","True","shm-ring-spin-s16384-native.json"
"shm-ring-hybrid","rust","16384","1000","100","3","completed","0",,"1.8361000000000003","5508.300000000001","1.6199999999999999","3.25","0.157836803904117","544632.645280758","True","shm-ring-hybrid-s16384-native.json"
"af-unix","rust","16384","1000","100","3","completed","0",,"14.197933333333335","42593.8","12.27","35.839999999999996","2.3085372848528034","70432.78599232752","True","af-unix-s16384-native.json"
"udp-loopback","rust","16384","1000","100","3","completed","0",,"21.851900000000004","65555.70000000001","19.110000000000003","41.87","3.410300777057649","45762.61103153501","True","udp-loopback-s16384-native.json"
"mailslot","rust","16384","1000","100","3","completed","0",,"11.740366666666668","35221.100000000006","10.08","25.759999999999998","1.7019718560801438","85176.21539361347","True","mailslot-s16384-native.json"
"rpc","rust","16384","1000","100","3","completed","0",,"42.865199999999994","128595.59999999998","38.78","77.21","3.9690742363091833","23328.947491204992","True","rpc-s16384-native.json"
"alpc","rust","16384","1000","100","3","completed","0",,"9.1016","27304.8","7.2299999999999995","28.47","2.905571218653342","109870.79194866837","True","alpc-s16384-native.json"
"py-multiprocessing-pipe","python","16384","1000","100","3","completed","0",,"34.94533333333333","104836.0","27.74","93.76","7.466612008728516","28616.124232134","True","py-multiprocessing-pipe-s16384-python.json"
"py-multiprocessing-queue","python","16384","1000","100","3","completed","0",,"69.79996666666668","209399.90000000002","53.86","117.41","12.04169336093927","14326.654406234195","True","py-multiprocessing-queue-s16384-python.json"
"py-socket-tcp-loopback","python","16384","1000","100","3","completed","0",,"28.2561","84768.3","23.66","57.470000000000006","4.828326603493181","35390.58822696692","True","py-socket-tcp-loopback-s16384-python.json"
"py-shared-memory-events","python","16384","1000","100","3","completed","0",,"51.45706666666667","154371.2","45.21","88.85","6.502213474058063","19433.676747994443","True","py-shared-memory-events-s16384-python.json"
"py-shared-memory-queue","python","16384","1000","100","3","completed","0",,"47.07490000000001","141224.7","38.14","92.74","8.155251048046692","21242.74294794041","True","py-shared-memory-queue-s16384-python.json"
"copy-roundtrip","rust","32704","1000","100","3","completed","0",,"2.3723666666666676","7117.100000000003","2.25","4.890000000000001","0.2806980564394573","421520.00112405315","False","copy-roundtrip-s32704-native.json"
"anon-pipe","rust","32704","1000","100","3","completed","0",,"19.7176","59152.8","17.1","55.30999999999999","3.8766789360654217","50716.111494299505","False","anon-pipe-s32704-native.json"
"named-pipe-byte-sync","rust","32704","1000","100","3","completed","0",,"15.196066666666669","45588.200000000004","13.779999999999998","32.56","2.2746814858837316","65806.50255987294","True","named-pipe-byte-sync-s32704-native.json"
"named-pipe-message-sync","rust","32704","1000","100","3","completed","0",,"16.094133333333332","48282.399999999994","14.26","38.15","2.3193779874977016","62134.442364091265","True","named-pipe-message-sync-s32704-native.json"
"named-pipe-overlapped","rust","32704","1000","100","3","completed","0",,"16.513833333333327","49541.499999999985","14.940000000000001","35.43","2.383307429929164","60555.29202789582","True","named-pipe-overlapped-s32704-native.json"
"tcp-loopback","rust","32704","1000","100","3","completed","0",,"31.37403333333333","94122.09999999999","27.2","64.61999999999999","4.328838650903444","31873.491985410445","True","tcp-loopback-s32704-native.json"
"shm-events","rust","32704","1000","100","3","completed","0",,"14.11076666666667","42332.30000000001","12.84","26.380000000000003","1.5810666480435152","70867.87157796763","True","shm-events-s32704-native.json"
"shm-semaphores","rust","32704","1000","100","3","completed","0",,"14.098366666666664","42295.09999999999","12.69","35.18","2.4712376788879613","70930.20231658043","True","shm-semaphores-s32704-native.json"
"shm-mailbox-spin","rust","32704","1000","100","3","completed","0",,"4.7116","14134.8","4.49","7.279999999999999","0.29753000969089943","212242.12581713218","True","shm-mailbox-spin-s32704-native.json"
"shm-mailbox-hybrid","rust","32704","1000","100","3","completed","0",,"4.931899999999998","14795.699999999993","4.09","20.919999999999998","2.275558991398231","202761.61317139448","True","shm-mailbox-hybrid-s32704-native.json"
"shm-ring-spin","rust","32704","1000","100","3","completed","0",,"3.4875666666666665","10462.699999999999","3.21","6.909999999999999","0.3526108509706163","286732.8701004521","True","shm-ring-spin-s32704-native.json"
"shm-ring-hybrid","rust","32704","1000","100","3","completed","0",,"4.284333333333332","12852.999999999996","3.21","14.760000000000002","2.1342181758719567","233408.54275266483","True","shm-ring-hybrid-s32704-native.json"
"af-unix","rust","32704","1000","100","3","completed","0",,"17.275900000000004","51827.70000000001","15.4","28.04","2.128328966583879","57884.10444607805","True","af-unix-s32704-native.json"
"udp-loopback","rust","32704","1000","100","3","completed","0",,"24.73586666666667","74207.6","22.35","50.33","3.0725653096756496","40427.126062559626","True","udp-loopback-s32704-native.json"
"mailslot","rust","32704","1000","100","3","completed","0",,"14.459133333333332","43377.399999999994","13.029999999999998","26.24","1.697330035346364","69160.43838496546","True","mailslot-s32704-native.json"
"rpc","rust","32704","1000","100","3","completed","0",,"58.916666666666686","176750.00000000006","49.76","103.30999999999999","7.02118267973582","16973.12588401697","True","rpc-s32704-native.json"
"alpc","rust","32704","1000","100","3","completed","0",,"15.254933333333334","45764.8","13.439999999999998","36.68","3.100893687668479","65552.56441631996","True","alpc-s32704-native.json"
"py-multiprocessing-pipe","python","32704","1000","100","3","completed","0",,"37.07516666666667","111225.5","31.810000000000002","74.47999999999999","6.288770439353696","26972.232087066364","True","py-multiprocessing-pipe-s32704-python.json"
"py-multiprocessing-queue","python","32704","1000","100","3","completed","0",,"85.3415","256024.5","69.35","148.29000000000002","13.648047848807291","11717.6285863267","True","py-multiprocessing-queue-s32704-python.json"
"py-socket-tcp-loopback","python","32704","1000","100","3","completed","0",,"36.252766666666666","108758.29999999999","29.060000000000002","88.83","8.024561047946623","27584.10162718616","True","py-socket-tcp-loopback-s32704-python.json"
"py-shared-memory-events","python","32704","1000","100","3","completed","0",,"55.7227","167168.1","45.660000000000004","100.89","8.09056794730753","17946.00764141005","True","py-shared-memory-events-s32704-python.json"
"py-shared-memory-queue","python","32704","1000","100","3","completed","0",,"50.30116666666667","150903.5","37.86","104.6","10.716559567894084","19880.25459979391","True","py-shared-memory-queue-s32704-python.json"
